a,b,c,d,e,f
aa,aa,,,,aa
aachen,aachen,,,,aachen
aad,aad,,,,aad
aan,aan,,,,aan
ab,ab,,,,ab
abac,abac,,,,abac
abandon,,abandon,"['aband', 'on']",aband on,aband on
abbrevi,,abbrevi,['abbrevi'],abbrevi,abbrevi
abd,abd,,,,abd
abel,abel,,,,abel
aber,aber,,,,aber
aberr,aberr,,,,aberr
abil,abil,,,,abil
abing,abing,,,,abing
abl,abl,,,,abl
ablat,ablat,,,,ablat
abnorm,abnorm,,,,abnorm
aboard,aboard,,,,aboard
abomb,abomb,,,,abomb
abrad,abrad,,,,abrad
abraham,,abraham,['abraham'],abraham,abraham
abridg,abridg,,,,abridg
abrupt,abrupt,,,,abrupt
abruptli,,abruptli,"['abrupt', 'li']",abrupt li,abrupt li
abscissa,,abscissa,"['absciss', 'a']",absciss a,absciss a
absenc,absenc,,,,absenc
absent,absent,,,,absent
absolut,,absolut,['absolut'],absolut,absolut
absorb,absorb,,,,absorb
absorpt,,absorpt,['absorpt'],absorpt,absorpt
abstract,,abstract,['abstract'],abstract,abstract
abu,abu,,,,abu
abund,abund,,,,abund
ac,ac,,,,ac
academi,,academi,['academi'],academi,academi
acceler,,acceler,['acceler'],acceler,acceler
acceleromet,,acceleromet,['acceleromet'],acceleromet,acceleromet
accentu,,accentu,"['accent', 'u']",accent u,accent u
accept,accept,,,,accept
acceptor,,acceptor,"['accept', 'or']",accept or,accept or
access,access,,,,access
accessori,,accessori,['accessori'],accessori,accessori
accident,,accident,['accident'],accident,accident
accommod,,accommod,['accommod'],accommod,accommod
accomod,,accomod,['accomod'],accomod,accomod
accompani,,accompani,['accompani'],accompani,accompani
accomplish,,accomplish,"['accompli', 'sh', 'accomplis', 'h']",accompli sh accomplis h,accompli sh accomplis h
accord,accord,,,,accord
account,,account,['account'],account,account
accret,accret,,,,accret
accross,,accross,['accross'],accross,accross
accumul,,accumul,['accumul'],accumul,accumul
accur,accur,,,,accur
accuraci,,accuraci,['accuraci'],accuraci,accuraci
acetaldehyd,,acetaldehyd,['acetaldehyd'],acetaldehyd,acetaldehyd
aceton,aceton,,,,aceton
achiev,achiev,,,,achiev
achimota,,achimota,['achimota'],achimota,achimota
acid,acid,,,,acid
acknowledg,,acknowledg,['acknowledg'],acknowledg,acknowledg
acm,acm,,,,acm
acoust,acoust,,,,acoust
acousto,,acousto,['acousto'],acousto,acousto
acoustoelectr,,acoustoelectr,['acoustoelectr'],acoustoelectr,acoustoelectr
acquir,acquir,,,,acquir
across,across,,,,across
act,act,,,,act
action,action,,,,action
activ,activ,,,,activ
actual,actual,,,,actual
actuat,actuat,,,,actuat
acut,acut,,,,acut
ad,ad,,,,ad
ada,ada,,,,ada
adam,adam,,,,adam
adapt,adapt,,,,adapt
adcock,adcock,,,,adcock
add,add,,,,add
addam,addam,,,,addam
addendum,,addendum,"['addend', 'um']",addend um,addend um
adder,adder,,,,adder
addit,addit,,,,addit
address,,address,"['ad', 'dress']",ad dress,ad dress
adduc,adduc,,,,adduc
adelaid,,adelaid,"['adela', 'id']",adela id,adela id
adeli,adeli,,,,adeli
adequ,adequ,,,,adequ
adhes,adhes,,,,adhes
adiabat,,adiabat,['adiabat'],adiabat,adiabat
adjac,adjac,,,,adjac
adjoin,adjoin,,,,adjoin
adjoint,,adjoint,"['ad', 'joint', 'adjoin', 't']",ad joint adjoin t,ad joint adjoin t
adjust,adjust,,,,adjust
adjustabl,,adjustabl,['adjustabl'],adjustabl,adjustabl
adler,adler,,,,adler
administr,,administr,['administr'],administr,administr
admir,admir,,,,admir
admira,admira,,,,admira
admitt,admitt,,,,admitt
admixtur,,admixtur,['admixtur'],admixtur,admixtur
adopt,adopt,,,,adopt
adsorb,adsorb,,,,adsorb
adsorpt,,adsorpt,['adsorpt'],adsorpt,adsorpt
advanc,advanc,,,,advanc
advanect,,advanect,['advanect'],advanect,advanect
advantag,,advantag,['advantag'],advantag,advantag
advers,advers,,,,advers
advic,advic,,,,advic
advisori,,advisori,"['advisor', 'i']",advisor i,advisor i
advoc,advoc,,,,advoc
ae,ae,,,,ae
aee,aee,,,,aee
aerial,aerial,,,,aerial
aeriel,aeriel,,,,aeriel
aerobe,aerobe,,,,aerobe
aerodynam,,aerodynam,['aerodynam'],aerodynam,aerodynam
aerolen,,aerolen,"['aero', 'len']",aero len,aero len
aerolog,,aerolog,"['aero', 'log']",aero log,aero log
aeromagnet,,aeromagnet,"['aero', 'magnet']",aero magnet,aero magnet
aeromagnetomet,,aeromagnetomet,['aeromagnetomet'],aeromagnetomet,aeromagnetomet
aeronaut,,aeronaut,['aeronaut'],aeronaut,aeronaut
aeronom,,aeronom,"['aero', 'nom']",aero nom,aero nom
aeronomi,,aeronomi,['aeronomi'],aeronomi,aeronomi
aerosol,,aerosol,"['aero', 'sol']",aero sol,aero sol
aether,aether,,,,aether
af,af,,,,af
afbmd,afbmd,,,,afbmd
afc,afc,,,,afc
affect,affect,,,,affect
affin,affin,,,,affin
afford,afford,,,,afford
afghanistan,,afghanistan,"['afghani', 'stan', 'afghanis', 'tan']",afghani stan afghanis tan,afghani stan afghanis tan
africa,africa,,,,africa
afterglow,,afterglow,"['after', 'glow']",after glow,after glow
afternoon,,afternoon,"['after', 'noon']",after noon,after noon
ag,ag,,,,ag
agassiz,,agassiz,['agassiz'],agassiz,agassiz
agc,agc,,,,agc
agenc,agenc,,,,agenc
agent,agent,,,,agent
aggreg,aggreg,,,,aggreg
agit,agit,,,,agit
agl,agl,,,,agl
agre,agre,,,,agre
agreement,,agreement,"['agree', 'ment']",agree ment,agree ment
agrimet,,agrimet,['agrimet'],agrimet,agrimet
aguilar,,aguilar,['aguilar'],aguilar,aguilar
agwac,agwac,,,,agwac
ahalwo,ahalwo,,,,ahalwo
ahead,ahead,,,,ahead
ahmedabad,,ahmedabad,['ahmedabad'],ahmedabad,ahmedabad
ai,ai,,,,ai
aid,aid,,,,aid
aiee,aiee,,,,aiee
aim,aim,,,,aim
air,air,,,,air
airboard,,airboard,"['air', 'board']",air board,air board
airborn,,airborn,"['air', 'born']",air born,air born
aircraft,,aircraft,"['air', 'craft']",air craft,air craft
aircrew,,aircrew,"['air', 'crew']",air crew,air crew
airflow,,airflow,"['air', 'flow']",air flow,air flow
airglow,,airglow,"['air', 'glow']",air glow,air glow
airi,airi,,,,airi
airlin,airlin,,,,airlin
akgun,akgun,,,,akgun
akita,akita,,,,akita
al,al,,,,al
alarm,alarm,,,,alarm
alaska,alaska,,,,alaska
albedo,albedo,,,,albedo
albert,albert,,,,albert
alcohol,,alcohol,['alcohol'],alcohol,alcohol
alent,alent,,,,alent
alert,alert,,,,alert
alexanderson,,alexanderson,"['alex', 'anderson', 'alexander', 'son', 'alexanders', 'on']",alex anderson alexander son alexanders on,alex anderson alexander son alexanders on
alfven,alfven,,,,alfven
algebra,,algebra,['algebra'],algebra,algebra
algorithm,,algorithm,['algorithm'],algorithm,algorithm
alibag,alibag,,,,alibag
align,align,,,,align
aliphat,,aliphat,"['ali', 'phat']",ali phat,ali phat
alkali,alkali,,,,alkali
alkalin,,alkalin,"['alkali', 'n']",alkali n,alkali n
allen,allen,,,,allen
allevi,allevi,,,,allevi
alli,alli,,,,alli
alloi,alloi,,,,alloi
allot,allot,,,,allot
allow,allow,,,,allow
aloft,aloft,,,,aloft
alon,alon,,,,alon
alp,alp,,,,alp
alpha,alpha,,,,alpha
alphabet,,alphabet,"['alp', 'habet', 'alpha', 'bet']",alp habet alpha bet,alp habet alpha bet
alphanumer,,alphanumer,['alphanumer'],alphanumer,alphanumer
alphen,alphen,,,,alphen
alsf,alsf,,,,alsf
altazimuth,,altazimuth,"['alt', 'azimuth']",alt azimuth,alt azimuth
alter,alter,,,,alter
altern,altern,,,,altern
altitud,,altitud,['altitud'],altitud,altitud
alumina,,alumina,"['a', 'lumina', 'alum', 'ina']",a lumina alum ina,a lumina alum ina
aluminium,,aluminium,['aluminium'],aluminium,aluminium
